     ,ra       ,dec       ,parallax  ,parallax_er ,pmra      ,pmdec     ,photo_g_mean_mag ,photo_bp_mean_mag ,photo_rb_mean_mag
 423 ,70.8077  ,24.09218  , 18.59311 ,   0.395528 ,14.99598  ,-17.53272 ,       18.61294  ,        18.83803  ,16.73337
 424 ,66.60874 , 8.648026 , 18.59747 ,   0.024003 ,172.3167  ,-77.32968 ,       14.58147  ,        16.12491  ,13.37608
 425 ,72.98836 , 9.87258  , 18.60349 ,   0.050007 ,20.70803  ,-28.1175  ,        6.730948 ,         6.926641 , 6.383166
 426 ,58.82924 ,19.94757  , 18.61759 ,   0.029052 ,-31.21786 ,-78.70601 ,       15.01636  ,        16.462    ,13.83982
 427 ,69.74621 ,15.75095  , 18.62562 ,   0.049277 ,28.47239  ,-39.38533 ,       15.62518  ,        17.33735  ,14.35878
 428 ,70.48906 , 8.591773 , 18.65986 ,   0.037805 ,231.0781  ,25.7915   ,       14.94971  ,        16.47171  ,13.75073
 429 ,76.57526 ,17.81628  , 18.66425 ,   0.019688 ,64.4524   ,-31.24373 ,        8.630073 ,         8.989019 , 8.103597
 430 ,61.58647 ,19.02735  , 18.6736  ,   0.036666 ,108.7897  ,-28.42677 ,       14.50178  ,        16.31648  ,13.21752
 431 ,59.81677 ,19.53805  , 18.67642 ,   0.05288  ,57.15185  ,-6.377829 ,       11.16799  ,        11.92447  ,10.20382
 432 ,63.24235 ,25.93508  , 18.67792 ,   0.374004 ,235.7736  ,-139.9432 ,       19.38265  ,        21.68218  ,17.86689
 433 ,65.75006 ,13.3162   , 18.6805  ,   0.018492 ,95.68906  ,-13.39934 ,       12.67608  ,        13.89517  ,11.5761
 434 ,64.54567 ,23.2842   , 18.68244 ,   0.142888 ,108.7284  ,-42.55959 ,       13.46806  ,                  ,  
 435 ,71.38606 ,16.59814  , 18.69174 ,   0.036154 ,79.7056   ,-27.94963 ,       15.28533  ,        17.20633  ,13.97742
 436 ,59.84934 ,12.54725  , 18.71774 ,   0.248554 ,78.25837  ,-11.57272 ,       18.58014  ,        21.32813  ,17.05264
 437 ,76.89602 ,14.65381  , 18.74629 ,   0.055177 ,66.68529  ,-20.0509  ,       13.53232  ,        14.88907  ,12.21087
 438 ,64.47626 ,21.53609  , 18.75138 ,   0.02514  ,341.7262  ,-112.1246 ,       11.64793  ,        12.60199  ,10.67161
 439 ,75.77988 ,19.01783  , 18.7529  ,   0.024783 ,67.11763  ,-34.35314 ,       11.21561  ,        12.05772  ,10.31862
 440 ,68.70917 ,20.39442  , 18.76046 ,   0.238035 ,110.1858  ,-22.61785 ,       10.57191  ,        11.33721  , 9.715917
 441 ,61.84162 ,19.19356  , 18.76831 ,   0.062959 ,101.6968  ,-131.3691 ,       14.61443  ,        16.10101  ,13.39463
 442 ,74.26652 ,14.19123  , 18.77294 ,   0.015322 ,-132.8742 ,-54.38108 ,       10.41172  ,        10.97915  , 9.698517
 443 ,75.3141  ,16.98247  , 18.77764 ,   0.029529 ,76.79919  ,-45.32936 ,       14.44761  ,        16.00577  ,13.23829
 444 ,70.80739 ,24.08883  , 18.79044 ,   0.026251 ,14.15702  ,-19.27899 ,        6.02485  ,         6.290934 , 5.593215
 445 ,68.83522 ,19.46291  , 18.79775 ,   0.635039 ,180.637   ,-39.34866 ,       20.12481  ,        21.44115  ,18.59422
 446 ,66.33395 ,23.10848  , 18.80155 ,   0.016707 ,93.31242  ,-40.35542 ,       12.03018  ,        13.0548   ,11.02371
 447 ,66.92022 ,16.24861  , 18.80554 ,   0.024235 ,92.26338  ,-21.21159 ,       14.29938  ,        15.88616  ,13.08091
 448 ,72.95529 ,17.2736   , 18.81408 ,   0.145912 ,71.57493  ,-28.47474 ,       10.85118  ,        11.57044  ,10.02994
 449 ,69.63898 ,16.75932  , 18.81522 ,   0.140654 ,159.1464  ,-64.56207 ,       18.09394  ,        20.85243  ,16.62925
 450 ,71.37066 , 7.823101 , 18.82952 ,   0.018941 ,45.04688  ,47.14886  ,       13.67512  ,        14.9425   ,12.56534
 451 ,74.06992 ,21.36702  , 18.83181 ,   0.021411 ,74.24494  ,-39.44736 ,       14.02191  ,        15.59382  ,12.80636
 452 ,69.95411 ,17.79277  , 18.83213 ,   0.027679 ,75.04603  ,157.6947  ,       14.82718  ,        16.55922  ,13.56844
 453 ,70.80308 ,15.31483  , 18.8339  ,   0.089354 ,50.95073  ,-23.70659 ,       12.7552   ,        13.93527  ,11.6616
 454 ,75.20543 ,15.44993  , 18.83461 ,   0.015921 ,18.30693  ,-58.71584 ,       10.36215  ,        11.08966  , 9.527621
 455 ,73.73414 ,10.46361  , 18.84926 ,   0.063568 ,345.5577  ,-250.7111 ,       16.72028  ,        16.87953  ,16.42815
 456 ,63.64922 ,20.65631  , 18.85993 ,   0.058111 ,198.4247  ,-189.5391 ,       16.38905  ,        18.39118  ,15.0673
 457 ,69.71024 ,16.28699  , 18.89584 ,   0.050681 ,134.0686  ,-226.7216 ,       16.10812  ,        18.10519  ,14.77572
 458 ,66.97163 ,20.98134  , 18.90205 ,   0.13117  ,92.74131  ,-36.705   ,       17.61828  ,        20.20693  ,16.16621
 459 ,61.84222 ,19.19351  , 18.90218 ,   0.030533 ,99.04723  ,-137.1151 ,       14.37331  ,        15.79222  ,13.16456
 460 ,76.11724 ,19.44233  , 18.9106  ,   1.665609 ,2.806222  ,5.976565  ,       20.59584  ,                  ,  
 461 ,74.31215 ,21.1778   , 18.91246 ,   0.132566 ,-79.72063 ,-53.67642 ,       16.50599  ,        18.7151   ,15.05981
